 
275,Royal Gala Apples,4.40,0,10,2
386,Honeydew Melon,5.99,0,20,4
240,Blueberries,3.99,0,30,5
916,Seedless Grapes,10.56,0,20,3
385,Pomegranate,2.50,0,5,2
495,Banana,0.44,0,100,30
316,Kiwifruit,0.50,0,123,10
355,Chicken Alfredo,4.49,1,20,5
846,Veal Parmigiana,5.49,1,3,5
359,Beefsteak Pie,5.29,1,40,5
127,Curry Chicken,4.79,1,30,3
238,Tide Detergent,16.99,1,10,2
324,Tide Liq. Pods,10.49,1,40,5
491,Tide Powder Det.,10.98,1,50,5
538,Lays Chips S&V,3.69,1,1,5
649,Joe Org Chips,3.29,1,15,5
731,Allen's Apple Juice,1.79,1,100,10
984,Coke 12 Pack,6.69,1,30,3
350,Nestea 12 Pack,7.29,1,50,5
835,7up 12 Pack,6.49,1,20,2
